仮名,カナ
艦隊,カンタイ
限度,ゲンド
ＣＭ,シーエム
経費,ケイヒ
親族,シンゾク
権限,ケンゲン
コーナー,コーナー
焦点,ショウテン
一口,ヒトクチ
性能,セイノウ
ため息,タメイキ
動向,ドウコウ
タオル,タオル
遺族,イゾク
リン,リン
公務,コウム
週刊,シュウカン
基,モト
存じ,ゾンジ
戦場,センジョウ
弾,タマ
軽,ケイ
外側,ソトガワ
作者,サクシャ
相場,ソウバ
サッカー,サッカー
亀,カメ
教養,キョウヨウ
商,ショウ
黒人,コクジン
あらし,アラシ
海上,カイジョウ
当局,トウキョク
要領,ヨウリョウ
